정류장명,위도,경도
원신금,35.91253877,127.0902597
폐지승강장,35.91396625,127.1748008
폐지승강장,35.91405952,127.174931
원신금,35.91259723,127.0904121
우석대종점,35.915344,127.0667511
우석대학교,35.9151198,127.0671015
삼례대영아파트,35.91580375,127.0804697
간리마을,35.91581423,127.1478348
삼례대영아파트,35.91594425,127.0810291
간리마을,35.91594135,127.1477883
삼례동원아파트,35.91665242,127.0822764
장포리,35.91678768,127.1249427
장포리,35.91678768,127.1252477
삼례동원아파트,35.91710895,127.0824024
신덕마을,35.91744526,127.1556353
신덕마을,35.91757482,127.1556151
폐지승강장,35.91769538,127.1701419
완주군청소년수련관,35.91782432,127.0840718
완주군청소년수련관,35.91804306,127.0838361
원사봉,35.91847498,127.3061103
완주군공설운동장.별산리,35.9188789,127.0948698
원사봉,35.91853714,127.3059418
학동마을,35.91869047,127.2803351
완주군공설운동장.별산리,35.91914535,127.0948928
삼례IC네거리,35.91919292,127.0867291
농원입구,35.91948337,127.089999
삼례IC네거리,35.9196071,127.0866899
농원입구,35.91964643,127.0900371
동촌마을,35.91984653,127.1593413
홍산로이편한세상,35.838931,127.107874
천수동마을입구,35.83894213,126.9897283
원신원,35.8385799,127.297224
금암중앙하이츠,35.83893341,127.1383149
안덕원로.고려병원,35.83923015,127.1674858
금상동,35.83934701,127.1931949
금상동,35.83944993,127.1931753
안덕원로.고려병원,35.83951413,127.1674522
한국건강관리협회,35.83993218,127.1195962
한국건강관리협회,35.840423,127.120534
북일초교,35.84067342,127.1548971
전주덕진소방서,35.840953,127.134004
북일초교,35.84087789,127.1552127
가련산로하가영무예다음,35.841532,127.111248
백자삼거리,35.841251,127.172273
신원리,35.8407431,127.282087
화심온천,35.84074807,127.279984
서고사,35.841793,127.080778
전북대정문.덕진소방서,35.841088,127.133365
신원리,35.8408948,127.2822459
백자동,35.84109586,127.1709129
서고사,35.840782,127.080156
화심온천,35.84091631,127.279984
상망표,35.84107106,127.2395354
배나무골,35.84124683,127.1386896
상망표,35.84110862,127.2397361
금하마을,35.84144892,127.1858841
덕촌,35.841791,127.096463
금하마을,35.84161492,127.1860011
백자동,35.84183281,127.1716453
덕촌,35.841973,127.096657
산정우정신세계아파트,35.842041,127.166802
가련산로하가영무예다음,35.84202607,127.1113025
전북대학교.농협앞,35.84250102,127.1251577
신원삼거리,35.84228154,127.2857882
사대부고사거리,35.842693,127.139942
인후위브어울림아파트,35.8426526,127.15201
전북대학교.한나여성병원앞,35.8428057,127.1247332
KT북전주지점.덕진광장,35.842967,127.123296
전북대학교.덕진성당앞,35.842863,127.125222
인후위브어울림아파트,35.84295257,127.1525147
KT북전주지점.덕진광장,35.84310173,127.1230835
양은마을,35.842767,127.052899
전북대학병원입구,35.843528,127.142764
사대부고사거리,35.84346261,127.1410842
덕진경찰서,35.843504,127.094285
덕진경찰서,35.8438,127.093277
반교리,35.84406917,127.0312798
반교리,35.84409633,127.0311294
화심,35.84420658,127.2687245
비룡마을,35.84463282,126.9907045
화심,35.84438265,127.2690392
비룡마을,35.84470558,126.9908449
새터,35.84440298,127.2742937
동전주우체국,35.84463013,127.1466499
전북대학병원입구,35.84466416,127.1453501
갈동마을,35.84478138,127.0455471
예촌마을,35.84483,126.9606283
갈동마을,35.84491779,127.0456206
우아럭키아파트,35.844924,127.164404
금상동성당,35.845511,127.180926
금상동성당,35.84501386,127.1812933
가련산로.원대한방병원,35.84538482,127.1155486
주동교,35.93525719,127.1420449
완주중,35.9357287,127.1598458
구봉동읍사무소,35.93688778,127.1621873
완주국민체육센터,35.93745423,127.1736244
봉동전통시장.동창햇살창조센터,35.9384139,127.168335
봉동전통시장,35.93783158,127.1681545
완주국민체육센터,35.93788059,127.1740139
거인마을,35.9377749,127.2961361
거인마을,35.9378205,127.2964465
주동,35.93868322,127.1380733
봉동농협,35.93872548,127.1666817
금강고려화학,35.93881728,127.1256322
주동,35.93882759,127.1382131
봉동농협,35.93914303,127.1672917
금강고려화학,35.93950364,127.1251354
완주고봉동파출소,35.93950244,127.1675032
완주고봉동파출소,35.93974878,127.1674689
화정유료낚시터,35.94005636,127.2054182
화정유료낚시터,35.94009128,127.2052042
