공원명,공원구분,주소,위도,경도,면적
만성어린 2,어린이공원,전북특별자치도 전주시 덕진구 만성동 1290-12,35.8381144345,127.0767718337,3137
만성문화,문화공원,전북특별자치도 전주시 덕진구 만성동285-8,35.8474324609,127.0817518319,18019
종광대,소공원,전북특별자치도 전주시 덕진구 인후동1가 176-22,35.8308589,127.1513332,1093
만성어린 3,어린이공원,전북특별자치도 전주시 덕진구 만성동 1353-9,35.8492012628,127.0761732191,2631
동산구역,소공원,전북특별자치도 전주시 덕진구 덕용2길 23,35.86992524,127.0791965068,2270
서찰방공원,소공원,전북특별자치도 전주시 덕진구 만성동 1168-8,35.8343406,127.067871,327.7
찰방공원,어린이공원,전북특별자치도 전주시 덕진구 만성동 1174-3,35.83393617,127.0696925,1852.9
오정공원,어린이공원,전북특별자치도 전주시 덕진구 중동 783-4,35.834749,127.0605874,1641.2
느티나무공원,어린이공원,전북특별자치도 전주시 덕진구 진북동 1164-2,35.8332628096,127.1291828009,1329
건산공원,어린이공원,전북특별자치도 전주시 덕진구 건산1길 21-3,35.8318687,127.1425954,1132.9
원장동공원,근린공원,전북특별자치도 전주시 덕진구 장동 1065,35.84130384,127.0555798,16103.7
만성지구 2,근린공원,전북특별자치도 전주시 덕진구 만성동377-122,35.8351751,127.0712343,16592.6
엽순공원,근린공원,전북특별자치도 전주시 덕진구 장동 1073-1,35.8430173,127.0607347,83224.7
송천유남공원,소공원,전북특별자치도 전주시 덕진구 송천동 97-80,35.8634308,127.130367,1017
에코시티7호,소공원,전북특별자치도 전주시 덕진구 송천동2가 1318,35.8768410810,127.1269793653,1443.5
봉암공원(에코시티8호),소공원,전북특별자치도 전주시 덕진구 송천동2가 1353-4,35.8734566707,127.1395917963,1026.9
에코시티1호,소공원,전북특별자치도 전주시 덕진구 송천동2가 377-66,35.8769132,127.114948,810.2
에코시티2호,소공원,전북특별자치도 전주시 덕진구 송천동2가 727-27,35.8759677807,127.1151002826,1317.2
에코시티3호,소공원,전북특별자치도 전주시 덕진구 송천동2가 377-66,35.8769132,127.114948,871.7
에코시티4호,소공원,전북특별자치도 전주시 덕진구 송천동2가 727-49,35.8763458021,127.1160722672,1110
에코시티5호,소공원,전북특별자치도 전주시 덕진구 송천동2가 377-66,35.8769132,127.114948,1129
에코시티6호,소공원,전북특별자치도 전주시 덕진구 송천동2가 377-66,35.8769132,127.114948,10063
화암공원(에코시티9호),소공원,전북특별자치도 전주시 덕진구 송천동2가1365-4,35.8714514141,127.1394612232,1320.5
백석공원,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1293-86,35.88165646,127.1241909,92596.2
세병공원,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1316,35.87592143,127.1320572,200475
붓내공원,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1339,35.87140771,127.1296104,28727
화정공원,근린공원,전북특별자치도 전주시 덕진구 송천동2가 1356,35.8716158,127.1364965,35878
팔복문화공원,문화공원,전북특별자치도 전주시 덕진구 구렛들1길 46,35.86133297,127.1009481,13242
철도178호,근린공원,전북특별자치도 전주시 덕진구 우아동1가 942-1,35.82991351,127.1764064,36018
에코시티 1호공원,어린이공원,전북특별자치도 전주시 덕진구 송천동2가 377-66,35.8769132,127.114948,3508
에코시티5호,근린공원,전북특별자치도 전주시 덕진구 송천동2가 377-70,35.87558642,127.1112869,11236
제187호 근린공원,근린공원,전북특별자치도 전주시 덕진구 우아동1가 1121,35.8255237,127.1762275,5153
동산구역B,소공원,전북특별자치도 전주시 덕진구 여의동2가 551-3,35.8686356349,127.0803392506,499
동산구역A,소공원,전북특별자치도 전주시 덕진구 여의동2가 601-5,35.870165,127.0806617218,1405
추천대공원,소공원,전북특별자치도 전주시 덕진구 팔복동2가 100-2,35.845709,127.1041981,4780
